Horário,Atividade,Detalhes
Após Atendimentos,Feedback resumido – Discord,"Layout para Discord                   Data: 
                                                    Nome:
                                                    Feedback:"
10h00 - 11h00,Treinamento,
Após Atendimentos,"Feedback completo, Gestão de CRM","Layout para notas em CRM       Data:
                                                    Nome:
                                                    Detalhes:
                                                    Ações no Card:"
20h00,Agendamento Sessão/ Estudo/ Follow,
14h00,Agendamento Sessão/ Estudo/ Follow,
15h30,Agendamento Sessão/ Estudo/ Follow,
Após Atendimentos,Upload das Gravações de Calls,Salvar gravações das calls em sua devidas pastas
Após Atendimentos,Métricas - Grupo de Whatsapp,"Layout para Whatsapp               Sessão estratégica                          Follow
                                                    Agendamentos:                               Novos atendimentos:
                                                    Atendimentos:                                 Atendimentos totais:
                                                    No Show:                                         Atendimentos encerrados:
                                                    Vendas:                                            Vendas:"
17h00,Agendamento Sessão/ Estudo/ Follow,
18h30,Agendamento Sessão/ Estudo/ Follow,
11h00 - 12h00,Agenda de sessão / Follow,"1ª Ação  | Entrar em contato com novos leads
2ª Ação  | Enviar mensagens para os outros leads"
